rcid,date,me,nu,di,hr,co,ec,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ERI,ESP,EST,ETH,FIN,FJI,FRA,FSM,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KIR,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAR,MCO,MDA,MDG,MDV,MEX,MHL,MKD,MLI,MLT,MMR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NRU,NZL,OMN,PAK,PAN,PER,PHL,PLW,PNG,POL,PRK,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SMR,SOM,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TUV,TWN,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,SRB,ZAF,ZMB,ZWE
17,1946-02-02,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,9,9,9,9,1,9,9,1,9,9,9,2,9,9,9,9,9,9,9,3,9,1,3,9,9,9,9,9,1,9,3,9,9,9,9,9,3,9,9,1,1,9,9,9,9,9,3,1,9,1,3,9,9,9,1,9,9,3,9,9,2,9,9,9,9,9,9,3,9,8,9,1,9,1,9,9,1,9,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,9,9,9,9,9,9,1,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1,3,9,9,1,9,9,1,3,1,9,9,3,9,9,1,9,9,3,9,3,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,1,9,1,9,9,3,1,1,9,9,1,9,9,9,9,8,1,9,9
18,1946-02-03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,9,9,9,9,3,9,9,3,9,9,9,2,9,9,9,9,9,9,9,1,9,1,3,9,9,9,9,9,3,9,1,9,9,9,9,9,1,9,9,8,3,9,9,9,9,9,3,3,9,3,2,9,9,9,3,9,9,1,9,9,3,9,9,9,9,9,9,3,9,1,9,8,9,3,9,9,3,9,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,9,9,9,9,9,9,3,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,3,3,9,9,3,9,9,2,3,3,9,9,1,9,9,8,9,9,1,9,2,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,3,9,3,9,9,1,3,3,9,9,3,9,9,9,9,1,3,9,9
19,1946-02-03,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,9,9,9,9,9,1,9,9,1,9,9,9,2,9,9,9,9,9,9,9,3,9,1,1,9,9,9,9,9,1,9,2,9,9,9,9,9,2,9,9,8,1,9,9,9,9,9,1,1,9,1,2,9,9,9,1,9,9,2,9,9,1,9,9,9,9,9,9,1,9,8,9,1,9,1,9,9,1,9,2,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,1,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,1,9,9,1,1,1,9,9,3,9,9,1,9,9,3,9,2,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,1,9,1,9,9,3,1,1,9,9,1,9,9,9,9,3,1,9,9
9,1946-02-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,1,2,9,9,9,9,9,1,9,1,9,9,9,9,9,1,9,9,1,1,9,9,9,9,9,1,1,9,1,1,9,9,9,1,9,9,1,9,9,1,9,9,9,9,9,9,1,9,8,9,8,9,1,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1,1,9,9,1,9,9,1,1,1,9,9,1,9,9,8,9,9,1,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,1,1,9,9,1,9,9,9,9,1,1,9,9
10,1946-02-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,1,1,9,9,9,9,9,1,9,1,9,9,9,9,9,1,9,9,1,1,9,9,9,9,9,1,1,9,1,1,9,9,9,1,9,9,1,9,9,1,9,9,9,9,9,9,1,9,1,9,8,9,1,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,1,1,9,9,1,9,9,1,1,8,9,9,1,9,9,1,9,9,1,9,1,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,1,1,9,9,1,9,9,9,9,1,1,9,9
11,1946-02-05,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,9,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,1,1,9,9,9,9,9,1,9,1,9,9,9,9,9,8,9,9,8,1,9,9,9,9,9,1,1,9,1,1,9,9,9,1,9,9,1,9,9,1,9,9,9,9,9,9,1,9,8,9,1,9,8,9,9,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,8,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,8,1,9,9,1,9,9,8,1,1,9,9,1,9,9,1,9,9,1,9,1,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,1,9,1,9,9,1,1,1,9,9,1,9,9,9,9,1,1,9,9
12,1946-02-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,3,9,1,3,9,9,9,9,9,1,9,1,9,9,9,9,9,2,9,9,3,1,9,9,9,9,9,3,1,9,1,3,9,9,9,1,9,9,3,9,9,2,9,9,9,9,9,9,3,9,8,9,1,9,8,9,9,1,9,1,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,8,9,9,9,9,9,9,1,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,8,3,3,9,9,1,9,9,1,3,1,9,9,3,9,9,3,9,9,3,9,3,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,3,9,1,9,9,3,1,1,9,9,2,9,9,9,9,3,1,9,9
20,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,3,9,1,1,9,9,9,9,9,1,9,3,9,9,9,9,9,3,9,9,1,3,9,9,9,9,9,1,1,9,1,3,9,9,9,3,9,9,2,9,9,1,9,9,9,9,9,9,1,9,3,9,3,9,3,9,9,3,9,3,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,3,9,9,9,9,9,9,1,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,1,9,9,1,1,3,9,9,3,9,9,1,9,9,3,9,3,9,9,9,9,9,1,9,9,9,9,9,9,9,1,9,9,3,9,9,8,9,9,9,9,9,9,1,9,3,9,9,3,1,1,9,9,3,9,9,9,9,3,1,9,9
21,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,3,9,2,1,9,9,9,9,9,1,9,3,9,9,9,9,9,3,9,9,1,3,9,9,9,9,9,1,3,9,1,3,9,9,9,3,9,9,3,9,9,1,9,9,9,9,9,9,1,9,3,9,3,9,3,9,9,3,9,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,9,9,9,9,9,9,1,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,3,9,9,1,9,9,3,1,3,9,9,3,9,9,1,9,9,3,9,3,9,9,9,9,9,1,9,9,9,9,9,9,9,1,9,9,3,9,9,8,9,9,9,9,9,9,1,9,3,9,9,3,3,1,9,9,3,9,9,9,9,3,1,9,9
22,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,9,9,9,9,3,9,9,2,9,9,9,3,9,9,9,9,9,9,9,1,9,2,2,9,9,9,9,9,3,9,1,9,9,9,9,9,1,9,9,3,1,9,9,9,9,9,2,1,9,2,1,9,9,9,1,9,9,1,9,9,3,9,9,9,9,9,9,3,9,1,9,1,9,1,9,9,1,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,3,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,1,9,9,3,9,9,1,3,1,9,9,1,9,9,3,9,9,1,9,1,9,9,9,9,9,3,9,9,9,9,9,9,9,2,9,9,1,9,9,8,9,9,9,9,9,9,2,9,1,9,9,1,1,3,9,9,1,9,9,9,9,1,3,9,9
41,1946-12-01,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,3,9,9,9,9,1,9,9,3,9,9,9,3,9,9,9,9,9,9,9,1,9,2,3,9,9,9,9,9,3,9,1,9,9,9,9,9,2,9,9,2,3,9,9,9,9,9,1,2,9,3,3,9,9,9,2,9,9,1,9,9,3,9,9,9,9,9,9,2,9,1,9,3,9,1,9,9,3,9,2,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,8,9,9,9,9,9,9,3,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,1,9,9,3,9,9,3,3,3,9,9,1,9,9,3,9,9,1,9,3,9,9,9,9,9,3,9,9,9,9,9,9,9,1,9,9,3,9,9,8,9,9,9,9,9,9,3,9,2,9,9,1,2,3,9,9,2,9,9,9,9,1,3,9,9
42,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,9,9,9,9,1,9,9,3,9,9,9,1,9,9,9,9,9,9,9,1,9,1,3,9,9,9,9,9,3,9,1,9,9,9,9,9,1,9,9,2,3,9,9,9,9,9,1,1,9,3,3,9,9,9,2,9,9,1,9,9,3,9,9,9,9,9,9,2,9,1,9,3,9,1,9,9,1,9,2,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,8,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,1,9,9,3,9,9,1,3,3,9,9,1,9,9,3,9,9,1,9,3,9,9,9,9,9,3,9,9,9,9,9,9,9,1,9,9,3,9,9,8,9,9,9,9,9,9,3,9,2,9,9,1,2,3,9,9,1,9,9,9,9,1,3,9,9
43,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,9,9,9,9,1,9,9,2,9,9,9,2,9,9,9,9,9,9,9,3,9,1,1,9,9,9,9,9,1,9,1,9,9,9,9,9,1,9,9,1,1,9,9,9,9,9,1,1,9,1,3,9,9,9,1,9,9,3,9,9,1,9,9,9,9,9,9,1,9,3,9,1,9,1,9,9,2,9,2,3,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,8,9,9,9,9,9,9,2,9,9,9,9,9,9,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,1,9,9,1,1,1,9,9,3,9,9,1,9,9,2,9,3,9,9,9,9,9,1,9,9,9,9,9,9,9,1,9,9,3,9,9,8,9,9,9,9,9,9,1,9,1,9,9,3,1,1,9,9,1,9,9,9,9,2,1,9,9
44,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,9,9,9,9,2,9,9,2,9,9,9,1,9,9,9,9,9,9,9,3,9,2,2,9,9,9,9,9,1,9,2,9,9,9,9,9,2,9,9,2,1,9,9,9,9,9,1,1,9,1,2,9,9,9,2,9,9,1,9,9,1,9,9,9,9,9,9,1,9,1,9,1,9,2,9,9,2,9,1,2,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,1,9,9,1,1,1,9,9,3,9,9,1,9,9,3,9,2,9,9,9,9,9,8,9,9,9,9,9,9,9,2,9,9,2,9,9,8,9,9,9,9,9,9,2,9,1,9,9,3,1,1,9,9,1,9,9,9,9,3,1,9,9
45,1946-12-01,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,9,9,9,9,1,9,9,3,9,9,9,3,9,9,9,9,9,9,9,1,9,1,2,9,9,9,9,9,3,9,1,9,9,9,9,9,3,9,9,3,3,9,9,9,9,9,3,3,9,3,3,9,9,9,8,9,9,1,9,9,3,9,9,9,9,9,9,3,9,1,9,3,9,3,9,9,1,9,3,3,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,9,9,9,9,9,9,3,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,2,9,9,3,9,9,3,3,3,9,9,1,9,9,3,9,9,1,9,3,9,9,9,9,9,3,9,9,9,9,9,9,9,2,9,9,3,9,9,8,9,9,9,9,9,9,3,9,1,9,9,1,3,1,9,9,2,9,9,9,9,1,3,9,9
23,1946-12-05,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,9,9,9,9,3,9,9,1,9,9,9,1,9,9,9,9,9,9,9,1,9,1,1,9,9,9,9,9,2,9,1,9,9,9,9,9,2,9,9,3,2,9,9,9,9,9,1,3,9,3,2,9,9,9,1,9,9,1,9,9,1,9,9,9,9,9,9,2,9,1,9,2,9,1,9,9,1,9,1,8,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,2,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,1,9,9,1,9,9,1,3,1,9,9,1,9,9,1,9,9,1,9,2,9,9,9,9,9,3,9,9,9,9,9,9,9,1,9,9,2,9,9,8,9,9,9,9,9,9,2,9,1,9,9,1,1,1,9,9,1,9,9,9,9,1,2,9,9
24,1946-12-05,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,3,9,1,1,9,9,9,9,9,1,9,1,9,9,9,9,9,1,9,9,8,1,9,9,9,9,9,1,1,9,8,2,9,9,9,1,9,9,1,9,9,1,9,9,9,9,9,9,1,9,2,9,8,9,2,9,9,2,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,2,9,9,9,9,9,9,1,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,9,1,9,9,1,1,1,9,9,2,9,9,1,9,9,3,9,1,9,9,9,9,9,8,9,9,9,9,9,9,9,2,9,9,1,9,9,8,9,9,9,9,9,9,1,9,1,9,9,3,1,1,9,9,1,9,9,9,9,3,1,9,9
25,1946-12-06,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,9,9,9,9,1,9,9,1,9,9,9,1,9,9,9,9,9,9,9,3,9,1,1,9,9,9,9,9,1,9,2,9,9,9,9,9,1,9,9,8,1,9,9,9,9,9,2,1,9,1,1,9,9,9,2,9,9,2,9,9,1,9,9,9,9,9,9,1,9,1,9,1,9,2,9,9,2,9,1,1,2,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,2,9,9,1,9,9,8,1,1,9,9,3,9,9,1,9,9,3,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,8,9,9,1,9,9,8,9,9,9,9,9,9,1,9,2,9,9,3,1,1,9,9,1,9,9,9,9,3,1,9,9
26,1946-12-06,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,8,9,9,9,9,3,9,9,3,9,9,9,3,9,9,9,9,9,9,9,1,9,3,3,9,9,9,9,9,8,9,3,9,9,9,9,9,2,9,9,3,3,9,9,9,9,9,3,3,9,2,2,9,9,9,2,9,9,3,9,9,3,9,9,9,9,9,9,3,9,2,9,3,9,8,9,9,2,9,2,2,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,2,9,9,9,9,9,9,3,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,3,3,3,9,9,3,9,9,3,3,2,9,9,1,9,9,3,9,9,1,9,2,9,9,9,9,9,3,9,9,9,9,9,9,9,3,9,9,3,9,9,8,9,9,9,9,9,9,3,9,3,9,9,1,3,3,9,9,3,9,9,9,9,1,3,9,9
